branch,commit,seed,run_id,initial_validation_mean_loss,final_train_mean_loss,final_validation_mean_loss,validation_delta_from_start,global_step,export_train_mean_loss,export_validation_delta_from_start
experiment/mini-direct-action-logits,707e00b,20260613,run-20260615-004538.205381031,8.566263847351074,8.258082685470582,8.339715061187745,-0.2265487861633293,15000,8.258082389831543,-0.22654879093170166
experiment/mini-direct-action-logits,707e00b,20260614,run-20260615-004705.436825150,8.57645092010498,8.34254716873169,8.391162872314453,-0.185288047790527,15000,8.342547416687012,-0.18528804183006287
experiment/mini-direct-action-logits,707e00b,20260615,run-20260615-004831.109609638,8.517063903808594,8.219764862060547,8.309015827178955,-0.2080480766296393,15000,8.219764709472656,-0.20804807543754578
experiment/mini-direct-action-logits,707e00b,20260616,run-20260615-004957.013061880,8.592714824676513,8.350034036636352,8.394971752166748,-0.19774307250976442,15000,8.3500337600708,-0.19774307310581207
experiment/mini-direct-action-logits,707e00b,20260617,run-20260615-005123.171751970,8.554919395446777,8.300536785125733,8.364249954223633,-0.1906694412231449,15000,8.300537109375,-0.190669447183609
