branch,commit,seed,run_id,initial_validation_mean_loss,final_train_mean_loss,final_validation_mean_loss,validation_delta_from_start,global_step,export_train_mean_loss,export_validation_delta_from_start
experiment/mini-deeper-dense-trunk-wide,2238293,20260613,run-20260615-010303.923450928,8.957222922643025,7.957238927948252,8.129922448264228,-0.8273004743787968,86580,7.957239151000977,-0.827300488948822
experiment/mini-deeper-dense-trunk-wide,2238293,20260614,run-20260615-010611.138407523,10.04868449634976,7.951001262796974,8.1534495194753,-1.895234976874459,86580,7.951001167297363,-1.8952349424362183
experiment/mini-deeper-dense-trunk-wide,2238293,20260615,run-20260615-010917.462029665,9.838468175464206,7.992123268085144,8.175472423765395,-1.6629957516988103,86580,7.992123126983643,-1.66299569606781
experiment/mini-direct-action-logits,707e00b,20260613,run-20260615-011224.234612611,8.511319981680977,8.446189727703896,8.453452936808269,-0.05786704487270811,86580,8.446189880371094,-0.05786704644560814
experiment/mini-direct-action-logits,707e00b,20260614,run-20260615-011537.087054208,8.581155109405518,8.442033743907905,8.459469551510281,-0.12168555789523694,86580,8.442033767700195,-0.12168555706739426
experiment/mini-direct-action-logits,707e00b,20260615,run-20260615-011849.380617428,8.539245017369588,8.43659551161821,8.460229370329115,-0.07901564704047281,86580,8.436595916748047,-0.07901564985513687
