branch,commit,seed,run_id,initial_validation_mean_loss,final_train_mean_loss,final_validation_mean_loss,validation_delta_from_start,global_step,export_train_mean_loss,export_validation_delta_from_start
experiment/mini-transformer-state,8493ac2,20260617,run-20260614-151502.833817647,39.618657150268554,7.5877056980133055,8.000911502838134,-31.617745647430418,15000,7.587705612182617,-31.617746353149414
experiment/mini-input-and-trunk,397aa64,20260613,run-20260614-151923.000467157,8.924408283233642,7.7486389636993405,7.941321191787719,-0.9830870914459231,15000,7.748639106750488,-0.9830870628356934
experiment/mini-input-and-trunk,397aa64,20260614,run-20260614-152031.316407199,9.778738136291503,7.6616055393219,7.904375247955322,-1.8743628883361811,15000,7.661605358123779,-1.8743629455566406
experiment/mini-input-and-trunk,397aa64,20260615,run-20260614-152139.088059486,10.395537586212159,7.689100284576416,7.92202449798584,-2.473513088226319,15000,7.68910026550293,-2.473513126373291
experiment/mini-input-and-trunk,397aa64,20260616,run-20260614-152245.885720143,8.736034259796142,7.697165393829346,7.91629111289978,-0.8197431468963616,15000,7.697165489196777,-0.8197431564331055
experiment/mini-input-and-trunk,397aa64,20260617,run-20260614-152353.670522470,9.05862340927124,7.670042915344238,7.914361991882324,-1.1442614173889156,15000,7.670042991638184,-1.144261360168457
experiment/mini-deeper-dense-trunk-wide,2238293,20260613,run-20260614-152501.517970436,9.163794155120849,7.521885194778442,7.809017429351806,-1.3547767257690424,15000,7.521885395050049,-1.3547767400741577
experiment/mini-deeper-dense-trunk-wide,2238293,20260614,run-20260614-152614.606369858,9.880717506408692,7.526207799911499,7.823970947265625,-2.0567465591430665,15000,7.52620792388916,-2.056746482849121
experiment/mini-deeper-dense-trunk-wide,2238293,20260615,run-20260614-152727.277288902,10.184883785247802,7.488622598648071,7.783215579986572,-2.40166820526123,15000,7.488622665405273,-2.4016683101654053
experiment/mini-deeper-dense-trunk-wide,2238293,20260616,run-20260614-152839.724820132,10.350275421142578,7.564678316116333,7.845638608932495,-2.5046368122100837,15000,7.564678192138672,-2.504636764526367
experiment/mini-deeper-dense-trunk-wide,2238293,20260617,run-20260614-152952.096713145,9.336332759857179,7.507139453887939,7.800115432739258,-1.536217327117921,15000,7.507139682769775,-1.5362173318862915
